repo,commit_hash,files_changed,lines_added,lines_deleted,total_changes
django,abfa4619fb818ff694c22e962a280673e085239e,3,39,2,41
django,5401b125abca53200eacb62c8a10e602359b76d4,5,53,19,72
django,66b5a6de78ac3bcdf586844eac61663fece10ab5,2,9,0,9
django,a1ce852e52f45da7528446cef3a1f02416531771,2,4,4,8
django,c0d7fbe5021b0d2aaa5bb1196a6b43afcecec4d0,1,1,1,2
django,c60a708b58d6c8725f2e9dc46ac43d38250989b8,1,4,1,5
django,6821a7c9904861bf1381383b95ed85ff49d9ee5d,2,7,5,12
django,2b0f24e6223bf7e294fba63741f58eb7b0bf49ff,1,1,1,2
django,fffa64abc3870989d62659453cb302857c539956,2,9,0,9
django,e78420c2b8ef62acb6b7a37b71e3aa6833d630fb,1,28,45,73
django,01c70ba14899409e86dc3f6c6bcae0afc48094e7,1,2,1,3
django,c135be349ddd9fd71b15d4b20e7fc46814e4ca7c,1,2,2,4
django,a4f76741340fb23566795e83f830a3f2d49acce0,1,2,2,4
django,c4e07f94ebc1f9eaa3dae7b3dc6a2b9832182a10,2,32,18,50
django,1c7db70e79dce82f50d5958da64ab8e2807a31df,5,30,22,52
django,27687475265f88bc0a0bcbfe2ba26da306bbfc20,2,37,11,48
django,2501958b5127020411df6271445ccfd0906df70e,1,16,40,56
django,796cf3d325b4a1b9d9b5361c2c8c28a5edcfe89b,1,54,54,108
django,5ef870fbc5a65cce65b42a8f9cdb208a32d3dd31,1,0,9,9
django,47ac64ed8bba4de98376b961c739036b3199394b,1,10,0,10
django,6d4d99b3cef4a6d931de02f89a493fb345dc438e,2,10,2,12
django,125b63ca745bace1e098ed3c7362d59136f68a8b,2,5,0,5
django,dfcc662cf8fd7f897ddcdfeaf5cb4ae6c963ebf8,2,41,3,44
django,c5a107e8248813f07325ae65232b5e53e9ac4238,1,24,0,24
django,6e18c078d5c044a1d22dd6a64ace11d9e5f6d0bc,2,13,0,13
django,3c3f46357718166069948625354b8315a8505262,2,13,0,13
django,98e642c69181c942d60a10ca0085d48c6b3068bb,5,30,0,30
django,c880530ddd4fabd5939bab0e148bebe36699432a,5,37,4,41
django,74564946c3b42a2ef7d087047e49873847a7e1d9,3,39,1,40
django,e27cff68a32a0183c6b8d110b359c1c858f68cd7,10,133,2,135
django,eaf7b563a5d3861026242fdb503a58f71acf17f6,6,51,319,370
django,8af79e2c0c5608196369600268756772a6343525,2,18,0,18
django,05ba1a9228128614fb3c475f1c4bdf0160f44dba,12,185,31,216
django,601914722956cc41f1f2c53972d669ddee6ffc04,2,30,1,31
django,340e4f832e1ea74a27770e38635bbc781979f2e0,2,18,0,18
django,3939cd279569fde44f557d79f20bb5b1a02440af,1,2,1,3
django,7fc9db1c6a3a4865d85338f26812ce80f076ebec,1,2,0,2
django,348ca845385beaddc7c862ff8ec369f041a5088d,5,99,1,100
django,be7f68422d4c6ae568a17f1fa91aac67d284df82,4,42,1,43
django,adc25a9a6696f7e2ab6181aabce3a23e027d6703,7,213,10,223
django,ab108bf94dfc06c311d7dc81866b848fe5b5ee6c,4,26,3,29
django,01f8460653e73a8f60c98d3a37a74b28818744b6,26,168,171,339
django,1aa69a7491ce7f7f1f164a26a3dfaaa1aeeab217,2,22,4,26
django,787cc96ef6197d73c7d4ad96f25500910c399603,5,10,10,20
django,43933a1dca07047e95ec990d9289d0212668009e,2,1,26,27
django,9ba3f74a46d15f9f2f45ad4ef8cdd245a888e58e,2,5,2,7
django,6436ec321073bf0622af815e0af08f54c97f9b30,1,41,21,62
django,ea3a71c2d09f8281d8a50ed20e40e1fb13db5cd9,2,26,1,27
django,0ea01101c3a35568bc43e9707ac058b9874bd425,2,2,1,3
django,c87daabbf32779f5421a846dd33a7dd46cc27d54,13,26,118,144
django,4744e9939b65d168c531e5e23d1ac8a4445ac7f9,3,9,0,9
django,3ff32c50d143d8a498f9a5dfef1a31b16a7456fe,2,27,9,36
django,6fcbbe0b855d8701a4da1b65772ccf326f996b9e,1,10,2,12
django,74239181252ca73bebb84789856f5d8937d421b4,4,18,14,32
django,42d6e20feba81fb1182c8111d0c18e492fbe4e87,1,2,2,4
django,5e2bbebed9f36bb9d15f168444e7982287761877,2,3,2,5
django,185b049e9e72a5ff4b07e33605e10eb4f52ca74c,1,9,10,19
django,b6c9246d0a3ef5f9a40b15cc289b495351eae109,1,5,3,8
django,548209e620b3ca34396a360453f07c8dbb8aa6c7,1,8,0,8
django,a0323a0c44135c28134672e6e633e5f4a7a68d5d,3,24,15,39
django,9bb83925d6c231e964f8b54efbc982fb1333da27,3,81,46,127
django,5625bd590766e5ca8c2c76ba2307b98f7450ff83,1,0,1,1
